لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
عدة الوان ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فيراني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
رصاصي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
بترولي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
رصاصي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
رمادي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
رصاصي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
برتقالي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أخضر ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
أسود ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني 
بني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
خمري ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
خمري ,بنزين ,تأجير ,فلسطينية ,عادي ,الكتروني 
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
سكني ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
رصاصي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
فضي ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
ذهبي ,بنزين ,تأجير ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أخضر ,بنزين ,تأجير ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أزرق سماوي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
ذهبي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
سكني ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أزرق ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
رصاصي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني 
بني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
ذهبي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أزرق ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
سكني ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
زيتي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
بنفسجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
بترولي ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
بني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,يدوي 
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني 
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,بنزين ,عمومي ,فلسطينية ,عادي ,يدوي 
زيتي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
بني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
كحلي ,ديزل ,خصوصي ,نمرة صفراء ,عادي ,الكتروني 
فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
ذهبي ,بنزين ,عمومي ,فلسطينية ,اوتوماتيك ,يدوي 
أسود ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أخضر ,بنزين ,تأجير ,فلسطينية ,عادي ,الكتروني 
أزرق ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
رمادي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني 
أزرق ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
رصاصي ,بنزين ,تأجير ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,خصوصي ,نمرة صفراء ,عادي ,يدوي 
بيج ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
رصاصي ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
سكني ,بنزين ,عمومي ,فلسطينية ,عادي ,الكتروني 
جيشي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
ذهبي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
رمادي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
كحلي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أحمر ,بنزين ,خصوصي ,نمرة صفراء ,عادي ,الكتروني 
رمادي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
عدة الوان ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,ديزل ,عمومي ,فلسطينية ,عادي ,يدوي 
فضي ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
رصاصي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
بترولي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أزرق ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,يدوي 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني 
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أصفر ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أخضر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
سكني ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,ديزل ,تجاري ,فلسطينية ,عادي ,يدوي 
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أخضر ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
خمري ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أخضر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
فضي ,ديزل ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني 
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
زيتي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,يدوي 
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
رمادي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ميتالك ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فضي ,بنزين ,تأجير ,فلسطينية ,اوتوماتيك ,الكتروني 
أسود ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي 
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
أسود ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني 
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني 
رمادي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني 
بني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني 
