car_color,fuel_type,car_type,car_license,gear_type,windows,motor_power,speedometer,passengers_number,payment_method,car_state,ex_owners,additions,price
فيراني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000,29000,5.0,إمكانية التقسيط ,للبيع أو التبديل ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية

",109000
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,123457,,إمكانية التقسيط ,للبيع أو التبديل ,2.0,"


",42000
فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,250000,7.0,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",85000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,140000,5.0,نقدا فقط ,للبيع أو التبديل ,3.0,"

إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

",32500
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,122000,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",33500
رصاصي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,,7.0,إمكانية التقسيط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",97000
فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",85000
بترولي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,78000,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

",45000
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1500,0,5.0,إمكانية التقسيط ,للبيع فقط ,3.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية

",21000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1100,,,إمكانية التقسيط ,للبيع أو التبديل ,,"

مسجل CD
جنطات مغنيسيوم
فرش جلد

",11000
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500,,8.0,نقدا فقط ,للبيع أو التبديل ,,"

مسجل CD
وسادة حماية هوائية

",45000
رصاصي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,,,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",20000
رمادي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,22000,6.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",56500
رصاصي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3700,130000,5.0,إمكانية التقسيط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",85000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1235,,,نقدا فقط ,للبيع فقط ,8.0,"


",10000
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,,,إمكانية التقسيط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",51900
برتقالي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500,,,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية

",75000
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,900000,5.0,نقدا فقط ,للبيع فقط ,3.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",40000
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,7,5.0,إمكانية التقسيط ,للبيع أو التبديل ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",113000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,0,5.0,نقدا فقط ,للبيع أو التبديل ,3.0,"

إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",25000
فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,,,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم

",60000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,65000,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",100000
أخضر ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,,5.0,نقدا فقط ,للبيع فقط ,6.0,"

مُكيّف
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد

",37000
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,190,5.0,نقدا فقط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",85000
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2400,,8.0,إمكانية التقسيط ,للبيع أو التبديل ,,"

مسجل CD
فرش جلد

",37000
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1500,,5.0,إمكانية التقسيط ,للبيع فقط ,,"

إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم

",23000
رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,,5.0,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
مسجل CD
فرش جلد
وسادة حماية هوائية

",69000
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1400,184000,5.0,نقدا فقط ,للبيع فقط ,5.0,"

إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",13000
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1300,200,6.0,نقدا فقط ,للبيع فقط ,5.0,"

جنطات مغنيسيوم
فرش جلد

",6000
أسود ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,,7.0,نقدا فقط ,للبيع فقط ,3.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",45000
أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,,نقدا فقط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",123999
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1000,30000,5.0,إمكانية التقسيط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",59000
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,,,نقدا فقط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",84000
أبيض ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1600,295000,5.0,نقدا فقط ,للبيع فقط ,3.0,"

مُكيّف
إغلاق مركزي
وسادة حماية هوائية

",5500
بني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,60000,7.0,نقدا فقط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية

",108000
خمري ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1500,143212,5.0,إمكانية التقسيط ,للبيع أو التبديل ,9.0,"

مُكيّف
إغلاق مركزي
مسجل CD

",22000
أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,43000,5.0,نقدا فقط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",215000
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,71,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",67000
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,160000,5.0,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

",45000
أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,,5.0,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",55000
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,125,4000,,إمكانية التقسيط ,للبيع أو التبديل ,0.0,"


",11500
خمري ,بنزين ,تأجير ,فلسطينية ,عادي ,الكتروني ,1300,,,نقدا فقط ,للبيع فقط ,,"


",4000
سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,121000,6.0,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
وسادة حماية هوائية

",66000
سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,9900,,نقدا فقط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",68000
أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,56000,5.0,إمكانية التقسيط ,للبيع فقط ,0.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",95000
كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1100,,5.0,إمكانية التقسيط ,للبيع فقط ,,"


",7000
أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,260,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية

",57000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1300,0,5.0,نقدا فقط ,للبيع فقط ,0.0,"

مسجل CD
فرش جلد

",7500
سكني ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1600,0,6.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية

",1900
أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,80000,5.0,نقدا فقط ,للبيع فقط ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية

",42000
كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,200000,5.0,إمكانية التقسيط ,للبيع فقط ,5.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",25000
أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,60,5.0,نقدا فقط ,للبيع أو التبديل ,1.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",60000
فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,140000,5.0,نقدا فقط ,للبيع أو التبديل ,5.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",38500
رصاصي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,124000,5.0,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",55000
أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000,120000,6.0,إمكانية التقسيط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",87000
فضي ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2200,100000,7.0,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد

",120000
أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,800,90000,5.0,نقدا فقط ,للبيع أو التبديل ,3.0,"

مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",22000
أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,220,,5.0,إمكانية التقسيط ,للبيع فقط ,,"

إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد

",30000
أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,420,,,إمكانية التقسيط ,للبيع أو التبديل ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",190000
أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,,5.0,نقدا فقط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",36000
ذهبي ,بنزين ,تأجير ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,,,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

",28000
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,0,5.0,نقدا فقط ,للبيع أو التبديل ,3.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",42000
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,99,5.0,نقدا فقط ,للبيع أو التبديل ,3.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",44500
ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2500,200000,5.0,نقدا فقط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",33000
أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,82000,5.0,نقدا فقط ,للبيع أو التبديل ,3.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",59500
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1500,32123123,5.0,إمكانية التقسيط ,للبيع فقط ,4.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية

",3800
أخضر ,بنزين ,تأجير ,فلسطينية ,عادي ,الكتروني ,1400,120000,5.0,إمكانية التقسيط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية

",28500
أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,0,5.0,إمكانية التقسيط ,للبيع فقط ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",55000
أزرق سماوي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1999,,,إمكانية التقسيط ,للبيع فقط ,,"

مُكيّف
مسجل CD
فتحة سقف

",30000
أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,166000,5.0,نقدا فقط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية

",38000
فيراني ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,275000,5.0,نقدا فقط ,للبيع أو التبديل ,2.0,"

مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية

",50000
